"Prize Name","Contributor","Minimum Bid","Game Span","Category","Image","Winner","Winner URL"
"AGDQ 2018 Sketchbook","LLK","$30.00","Pre-Show Hype -> The Legend of Zelda: Breath of the Wild All Main Quests (No Amiibo)","None","None","Kurogamo","https://gamesdonequick.com//tracker/donor/298023/22"
"Eighth Generation Console Bundle","GamesDoneQuick","$150.00","Pre-Show Hype -> The Legend of Zelda: Breath of the Wild All Main Quests (No Amiibo)","Grand","None","theMadBicyclist","https://gamesdonequick.com//tracker/donor/291119/22"
"Off the Hook Vinyl Sticker Set","Marlowe Dobbe","$5.00","Splatoon 2 any%","None","https://drive.google.com/file/d/0ByY42UeOeTKJdTA2MEVpRFY3MmM/view?usp=sharing","Oshawotty","https://gamesdonequick.com//tracker/donor/360448/22"
"Splatoon 2 Hoodie &amp; Hat","e_mister","$10.00","Splatoon 2 any%","None","None","Tactician42","https://gamesdonequick.com//tracker/donor/305669/22"
"Splatoon 2 Vinyl + Guide","e_mister","$25.00","Splatoon 2 any% -> inFAMOUS First Light any%","None","None","FilmicAndy","https://gamesdonequick.com//tracker/donor/337560/22"
"Splatoon Double-Sided Acrylic Charm","Justm3h","$5.00","Splatoon 2 any%","None","https://drive.google.com/file/d/1ptLaXTjvwV5bqH4iKy4aOid1CzP-0Su4/view?usp=sharing","Jason Costi","https://gamesdonequick.com//tracker/donor/302263/22"
"Custom Skyrim Themed Nintendo Switch","Bethesda Softworks","$35.00","inFAMOUS First Light any% -> The Elder Scrolls V: Skyrim Main Quest","None","None","ptbrown121","https://gamesdonequick.com//tracker/donor/340085/22"
"Skyrim Strategy Guide &amp; Patches","Bethesda Softworks","$10.00","inFAMOUS First Light any% -> The Elder Scrolls V: Skyrim Main Quest","None","None","Anonymous","Anonymous"
"8x10 Hollow Knight original watercolor painting","natecallart","$10.00","Hollow Knight Any% No Storage OOB","None","http://s1318.photobucket.com/user/natecallart/media/hollow%20knight_zpsg5fmetlk.jpg.html?sort=3&amp;o=1","UncertainOutcome","https://gamesdonequick.com//tracker/donor/361091/22"
"Hollow Knight plush","Fangamer &amp; Team Cherry","$10.00","Hollow Knight Any% No Storage OOB","None","None","Pipes, Luke (Uber)","https://gamesdonequick.com//tracker/donor/334648/22"
"8x10 Banjo Kazooie original watercolor painting","natecallart","$10.00","Yooka-Laylee any% (No Flight Skip)","None","http://s1318.photobucket.com/user/natecallart/media/banjo_zpsfjldsnic.jpg.html?sort=3&amp;o=2","ShougaTouki","https://gamesdonequick.com//tracker/donor/361265/22"
"A Boy and his Frog","Studio Pen Pen","$10.00","Blaster Master Zero Any% vs EX Character Any%","None","https://imgur.com/MxIdmt1","[FR] Landroval85","https://gamesdonequick.com//tracker/donor/361297/22"
"Blaster Master Zero Original Soundtrack","Fangamer &amp; Inti Creates","$10.00","Blaster Master Zero Any% vs EX Character Any%","None","None","Anonymous","Anonymous"
"&quot;Owls&quot; AGDQ Banner","GamesDoneQuick","$50.00","LittleBigPlanet 2 Co-op New Game+ -> 007: Agent Under Fire Any%","None","None","Anonymous","Anonymous"
"Contra Perler Stand and Magnet Set","Nick Franklin","$10.00","Gunners Heaven any% -> Contra III: The Alien Wars Low% Hard","None","https://photos.google.com/photo/AF1QipMEXt4Cq_XkR1pjDXHEIl3B2w9hYjQGYDhPkmb0","Dog^2","https://gamesdonequick.com//tracker/donor/361532/22"
"Pastel Perler Bead Wall Art","Kinda Nerdy Housewife","$10.00","Pop&#39;n Twinbee: Rainbow Bell Adventures any% -> Magical Pop&#39;n any%","None","https://photos.app.goo.gl/eyyDvtrCbzNOXmin2","Anonymous","Anonymous"
"Wario&#39;s Woods Poster","Marlowe Dobbe","$10.00","Pop&#39;n Twinbee: Rainbow Bell Adventures any% -> Wario&#39;s Woods Hard Difficulty VS COM","None","https://static1.squarespace.com/static/56c012fd27d4bddbb1776058/t/59e91e4549fc2b6fef98642a/1508449864112/warioswoods_small.jpg?format=1000w","Anonymous","Anonymous"
"Disney&#39;s Aladdin Perler Art Magnets","Nick Franklin","$5.00","Disney&#39;s Aladdin 100%","None","https://photos.google.com/photo/AF1QipPj9BRi8Q6U89UWzAg6_uGVLqiaBxHMOGSQk6bI","td>\nNone\","https://gamesdonequick.com/<td>\nNone\"
"Donkey Kong Country Vinyl Soundtrack by Unfortunateface","Ken","$15.00","Donkey Kong Country 2: Diddy&#39;s Kong Quest Any% (Warpless) Race -> Donkey Kong Country Reverse Boss Order","None","https://imgur.com/G0UXlxu","spookyezra","https://gamesdonequick.com//tracker/donor/301889/22"
"Handmade King K. Rool - Pirate King Figurine","Jayce Thoyre","$30.00","Donkey Kong Country 2: Diddy&#39;s Kong Quest Any% (Warpless) Race -> Donkey Kong Country Reverse Boss Order","None","https://imgur.com/a/0Ooyy","NoRelationstoJFK31","https://gamesdonequick.com//tracker/donor/348854/22"
"Classic Sonic, Tails &amp; Knuckles Cross Stitch","FactoriesFarAway","$10.00","Sonic Advance 3 Best Ending -> Sonic Mania Sonic &amp; Tails Any%","None","https://cdn.discordapp.com/attachments/223602570050928640/396129404394143744/sanic.jpg","Calculor","https://gamesdonequick.com//tracker/donor/362061/22"
"Phantom Ruby Flower Planter","LLK","$10.00","Sonic Advance 3 Best Ending -> Sonic Mania Sonic &amp; Tails Any%","None","None","[FR] Onilane","https://gamesdonequick.com//tracker/donor/14240/22"
"Sonic Mania 2X Vinyl Soundtrack. Limited Sonic Blue Print","Ken","$15.00","Sonic Advance 3 Best Ending -> Sonic Mania Sonic &amp; Tails Any%","None","https://imgur.com/qI2Jyix","Anonymous","Anonymous"
"Sonic Mania Clock","LLK","$10.00","Sonic Advance 3 Best Ending -> Sonic Mania Sonic &amp; Tails Any%","None","None","Anonymous","Anonymous"
"Sonic Mania Pin Set","Marlowe Dobbe","$5.00","Sonic Advance 3 Best Ending -> Sonic Mania Sonic &amp; Tails Any%","None","https://drive.google.com/file/d/0ByY42UeOeTKJUFRKOG1kdXRST2s/view?usp=sharing","The Missing Collectible Podcast","https://gamesdonequick.com//tracker/donor/329196/22"
"Handmade Mega Man X Figurine","Jayce Thoyre","$20.00","Mega Man Zero 3 any% -> Mega Man X any% race","None","https://imgur.com/a/MFQuu","SnowFire","https://gamesdonequick.com//tracker/donor/2226/22"
"Mega Man 2 vs X chainmail inlay","The Chain Nerd","$25.00","Mega Man Zero 3 any% -> Mega Man X any% race","None","https://www.instagram.com/p/BcR-gVxFt0V/","Llokalla100","https://gamesdonequick.com//tracker/donor/362181/22"
"&quot;Octopus&quot; AGDQ Banner","GamesDoneQuick","$50.00","Burnout Paradise BSI 100% -> Resident Evil 3: Nemesis Any% Race","None","None","Myrisymto34","https://gamesdonequick.com//tracker/donor/356372/22"
"High Hell Steam Keys - AGDQ2018","Devolver Digital","$5.00","Serious Sam 3: BFE any% -> Risk of Rain any% 2x zoom","None","None","Anonymous","Anonymous"
"Dye Perlers","DukeFireBird","$20.00","DYE Any% No Hard Mode","None","https://media.discordapp.net/attachments/287124334806433793/394023998909841410/20171223_010322.jpg?width=834&amp;height=470","Grimelios","https://gamesdonequick.com//tracker/donor/48416/22"
"Castlevania Symphony of the Night Shadow Box Perler","auburn_moogle","$15.00","Castlevania: Harmony of Dissonance Maxim All Bosses -> Castlevania: Symphony of the Night Zero Bosses","None","https://imgur.com/gallery/bFoXh","evilwraith","https://gamesdonequick.com//tracker/donor/309689/22"
