"Prize Name","Contributor","Minimum Bid","Game Span","Category","Image","Winner","Winner URL"
"Banjo &amp; Kazooie Pins","iam8bit","$5.00","Pre-Show Pre-Show% -> Kirby: Super Star Ultra Meta Knightmare Ultra","None","https://imgur.com/alRfEDK.png","Velirno","https://gamesdonequick.com//tracker/donor/374003/23"
"Handmade Spyro Plush","Potette","$15.00","Pre-Show Pre-Show% -> Kirby: Super Star Ultra Meta Knightmare Ultra","None","https://imgur.com/a/EkiL2vI","Darhaen","https://gamesdonequick.com//tracker/donor/256085/23"
"SGDQ 2018 Banner - Masked Space Guys","Games Done Quick","$50.00","Pre-Show Pre-Show% -> Ninja Gaiden Any%","None","None","Alkaiser702","https://gamesdonequick.com//tracker/donor/370543/23"
"Spyro Poster","Becca Hallstedt","$5.00","Pre-Show Pre-Show% -> Kirby: Super Star Ultra Meta Knightmare Ultra","None","https://dfep0xlbws1ys.cloudfront.net/thumbs00/1a/001a418efffa9a85451fad852e57480c.jpg?response-cache-control=max-age=2628000","Jerf","https://gamesdonequick.com//tracker/donor/364308/23"
"Handmade Skull Kid Statue","Jayce Thoyre","$40.00","Shantae and the Pirate&#39;s Curse Any% Pirate No-OOB Race -> Resident Evil 4 New Game, Professional","None","https://www.instagram.com/p/BkVvTnPhZ7p/?taken-by=notenoughnaan","OddHasOneEye","https://gamesdonequick.com//tracker/donor/352505/23"
"HTC VIVE","HTC Esports","$30.00","Shantae and the Pirate&#39;s Curse Any% Pirate No-OOB Race -> Resident Evil 4 New Game, Professional","None","https://www.vive.com/media/filer_public/8f/ef/8fef879f-c986-4c89-a0b3-12126e8ba6f7/vive-pdp-hero-desktop-031918-v3.jpg","Arbos_VC","https://gamesdonequick.com//tracker/donor/377925/23"
"Majora&#39;s Mask Perler with Stand","Nick Franklin","$5.00","Shantae and the Pirate&#39;s Curse Any% Pirate No-OOB Race -> Resident Evil 4 New Game, Professional","None","https://photos.app.goo.gl/jK4tBAG2fhtELx386","Anonymous","Anonymous"
"Portal Quilt - Recumbent Thermal Comfort Device","Altered Notions","$25.00","Shantae and the Pirate&#39;s Curse Any% Pirate No-OOB Race -> Resident Evil 4 New Game, Professional","None","http://alterednotions.com/Portal/portal02.jpg","RollingThunder","https://gamesdonequick.com//tracker/donor/293812/23"
"Razer Wildcat","Muffins","$15.00","Shantae and the Pirate&#39;s Curse Any% Pirate No-OOB Race -> Resident Evil 4 New Game, Professional","None","https://imgur.com/atsg1Xg.png","Makdaddi0","https://gamesdonequick.com//tracker/donor/377977/23"
"Shantae - &quot;Risky Boots&quot; shirt and Switch code","Way Forward &amp; Fangamer","$10.00","Shantae and the Pirate&#39;s Curse Any% Pirate No-OOB Race -> Resident Evil 4 New Game, Professional","None","https://imgur.com/MFrjlKw.png","Forbezilla","https://gamesdonequick.com//tracker/donor/363292/23"
"Starcraft Void Probe Plushie","Jenna","$5.00","Shantae and the Pirate&#39;s Curse Any% Pirate No-OOB Race -> Resident Evil 4 New Game, Professional","None","None","Matt The Doctor","https://gamesdonequick.com//tracker/donor/25739/23"
"Triforce Heroes Bookmark 3","NelmaThyria","$5.00","Shantae and the Pirate&#39;s Curse Any% Pirate No-OOB Race -> Resident Evil 4 New Game, Professional","None","http://dzasv7x7a867v.cloudfront.net/product_photos/38322135/triforce_20heroes_20bookmark_original.jpg","Papa Ganda","https://gamesdonequick.com//tracker/donor/377582/23"
"Ninja Gaiden Definitive Soundtrack vol 1+2 - vinyl &amp; CD","Brave Wave &amp; Fangamer","$15.00","Ninja Gaiden Black Any% Normal -> Hagane: The Final Conflict Any%","None","None","[FR]Dinaheir","https://gamesdonequick.com//tracker/donor/378168/23"
"Snes Classic","Edobean","$20.00","Super Smash TV Any % Normal 2 Player -> Disgaea 5: Alliance of Vengeance New Game Any% (No DLC)","None","None","Jardrin","https://gamesdonequick.com//tracker/donor/317688/23"
"Fire Emblem Echoes Shadows of Valentia","Jenna","$15.00","Animaniacs Any% -> Disgaea 5: Alliance of Vengeance New Game Any% (No DLC)","None","https://www.amazon.com/Fire-Emblem-Echoes-Shadows-Valentia-Nintendo/dp/B06XRSXJNG#immersive-view_1528289802356","The Donation Tracker","https://gamesdonequick.com//tracker/donor/377410/23"
"Fire Emblem Perler Bundle","Count Gooby","$5.00","Animaniacs Any% -> Disgaea 5: Alliance of Vengeance New Game Any% (No DLC)","None","https://drive.google.com/drive/folders/1uFlwLRleBjCwZ8j1KARQhgPnNh3p-1Tr?usp=sharing","Faleep","https://gamesdonequick.com//tracker/donor/377817/23"
"Enter The Gungeon Bundle","Devolver Digital","$10.00","Disgaea 5: Alliance of Vengeance New Game Any% (No DLC) -> Axiom Verge any%","None","http://s0.limitedrun.com/images/1279156/v600_2018-02-05.png","Anonymous","Anonymous"
"NISA Limited Edition Bundle","Nippon Ichi Software America","$25.00","Disgaea 5: Alliance of Vengeance New Game Any% (No DLC) -> Axiom Verge any%","None","https://imgur.com/gk6iuBm","Peter Nelson / Dr. Gun","https://gamesdonequick.com//tracker/donor/325883/23"
"8-BIT Mega Man Sliding Magnet or Stand","Nick Franklin","$5.00","Axiom Verge any% -> Mega Man X2 Buster-only","None","https://photos.app.goo.gl/xz8j6KY2DyaaVcUC3","Alzeido","https://gamesdonequick.com//tracker/donor/378703/23"
"Axiom Verge Poster Combo","Tom Happ &amp; Fangamer","$10.00","Axiom Verge any% -> Mega Man X2 Buster-only","None","None","Dylan Labiuk","https://gamesdonequick.com//tracker/donor/378711/23"
"Handmade Splash Woman Figurine","Jayce Thoyre","$40.00","Axiom Verge any% -> Mega Man X2 Buster-only","None","https://www.instagram.com/p/Bjp-opmhxhe/?taken-by=notenoughnaan","Anonymous","Anonymous"
"Scissorman Perler Bead Sprite","SilentEvil","$5.00","Rise of the Tomb Raider any% -> Amy Amy%","None","https://bit.ly/2JervoQ","Anonymous","Anonymous"
"Castlevania Perler with Stand","Nick Franklin","$5.00","Castlevania III Sypha Route -> Castlevania: Circle of the Moon All Bosses","None","https://photos.app.goo.gl/t3hTWD7MkwjPrrfV2","Michael Steffes","https://gamesdonequick.com//tracker/donor/313659/23"
